pathogen_drug,model,n,resistant,susceptible,cv_folds,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd
Escherichia coli + meropenem,random_forest,13198,170,13028,5,0.8832702951154227,0.03517547405913716,0.5265566903914325,0.055693557590181464,0.885237090200388,0.046715117781112966
Haemophilus influenzae + ampicillin,logistic_regression,88,16,72,5,0.5,0.0,0.0,0.0,0.5,0.0
Haemophilus influenzae + ampicillin,random_forest,88,16,72,5,0.5,0.0,0.0,0.0,0.5,0.0
Helicobacter pylori + amoxicillin,logistic_regression,54,5,49,5,0.5,0.0,0.0,0.0,0.5,0.0
Helicobacter pylori + amoxicillin,random_forest,54,5,49,5,0.5,0.0,0.0,0.0,0.5,0.0
Klebsiella pneumoniae + ampicillin,logistic_regression,3994,3975,19,5,0.5844025157232704,0.09076527482097001,0.6036807860840939,0.05801370852952213,0.6188155136268343,0.06829086159605585
Klebsiella pneumoniae + ampicillin,random_forest,3994,3975,19,5,0.6340880503144655,0.07725240719324684,0.696026453055847,0.02078568625075556,0.6496121593291405,0.09227963235597741
Klebsiella pneumoniae + chloramphenicol,logistic_regression,473,320,153,5,0.6792943548387097,0.05119256436255163,0.7708159785411193,0.040036377327574084,0.7413390456989248,0.03953008103374835
Klebsiella pneumoniae + chloramphenicol,random_forest,473,320,153,5,0.6967002688172043,0.04087461722694112,0.8147600175697057,0.02358993948758273,0.7268901209677419,0.04417319015082328
Klebsiella pneumoniae + colistin,logistic_regression,1667,514,1153,5,0.7068805972828518,0.01739112361726665,0.5972738920120554,0.02160017704878445,0.7605312372208307,0.01658696106547875
Klebsiella pneumoniae + colistin,random_forest,1667,514,1153,5,0.7102970430276565,0.028818353476782733,0.6006135882918259,0.03691421284021645,0.7745533877749009,0.02123905085455232
Klebsiella pneumoniae + doripenem,logistic_regression,403,334,69,5,0.8843957037986889,0.019994768019418022,0.9463946242649566,0.013330316055262487,0.9196953543968469,0.034113022269797365
Klebsiella pneumoniae + doripenem,random_forest,403,334,69,5,0.8842113110769827,0.02628540779838376,0.9530166654582743,0.012427793035516164,0.9322405206733565,0.029292467395720664
Klebsiella pneumoniae + ertapenem,logistic_regression,2273,1479,794,5,0.9586421615699081,0.007457399353645337,0.9608665108944123,0.009252981645454917,0.9741881728479724,0.004692008408191495
Klebsiella pneumoniae + ertapenem,random_forest,2273,1479,794,5,0.9606680433839255,0.006627121596509836,0.9630553229403092,0.008152456383401802,0.9729909566282187,0.0020370247538017004
Klebsiella pneumoniae + fosfomycin,logistic_regression,285,79,206,5,0.5367682926829269,0.04140053068629052,0.37343287343287346,0.04649147690827524,0.5809301200154858,0.02834788743773649
Klebsiella pneumoniae + fosfomycin,random_forest,285,79,206,5,0.5093103948896631,0.04677972217385691,0.28755851746647365,0.15211088367474102,0.5452719705768486,0.04257430138034012
Klebsiella pneumoniae + imipenem,logistic_regression,2777,1326,1451,5,0.9333979073003625,0.011130107905545162,0.9302267856175901,0.011769646112711028,0.9553570692017894,0.013111768080195981
Klebsiella pneumoniae + imipenem,random_forest,2777,1326,1451,5,0.9346261568441963,0.011841765349820978,0.9315732117107889,0.012496263590775578,0.9517427344158745,0.011056101277342112
Klebsiella pneumoniae + imipenem-relebactam,logistic_regression,41,20,21,5,0.95,0.06123724356957946,0.9428571428571428,0.06998542122237654,0.94375,0.06959705453537526
Klebsiella pneumoniae + imipenem-relebactam,random_forest,41,20,21,5,0.925,0.1,0.9214285714285715,0.10202040612204072,0.925,0.09395810236483068
Klebsiella pneumoniae + meropenem,logistic_regression,5044,1996,3048,5,0.9282851164088853,0.010225557194525664,0.9133101238388057,0.012249260741459543,0.9572469707945063,0.008657413412036515
Klebsiella pneumoniae + meropenem,random_forest,5044,1996,3048,5,0.9277078741228424,0.009596168371026113,0.9126024372189574,0.011691571492891153,0.9578444283270022,0.00841736302115925
Mycobacterium tuberculosis + amoxicillin,logistic_regression,848,30,818,5,0.5,0.0,0.02742857142857143,0.03359300218674073,0.5,0.0
Mycobacterium tuberculosis + amoxicillin,random_forest,848,30,818,5,0.5,0.0,0.04090909090909091,0.03340213285613425,0.5,0.0
Neisseria gonorrhoeae + penicillin,logistic_regression,7877,6116,1761,5,0.5,0.0,0.0,0.0,0.5,0.0
Neisseria gonorrhoeae + penicillin,random_forest,7877,6116,1761,5,0.5,0.0,0.6993121904961828,0.3496561219167953,0.5,0.0
Neisseria meningitidis + chloramphenicol,logistic_regression,321,4,317,4,0.5,0.0,0.0,0.0,0.5,0.0
Neisseria meningitidis + chloramphenicol,random_forest,321,4,317,4,0.5,0.0,0.0,0.0,0.5,0.0
